GEO_ID,Tract_Name,County,Total_Households,No_Vehicle_HH,Pct_No_Vehicle
08001008563,"Census Tract 85.63, Adams County, CO",Adams County,1495,0,0.0
08001008564,"Census Tract 85.64, Adams County, CO",Adams County,309,0,0.0
08001008565,"Census Tract 85.65, Adams County, CO",Adams County,2185,57,2.6
08001008603,"Census Tract 86.03, Adams County, CO",Adams County,678,48,7.1
08001008604,"Census Tract 86.04, Adams County, CO",Adams County,1264,34,2.7
08001008605,"Census Tract 86.05, Adams County, CO",Adams County,1369,69,5.0
08001008606,"Census Tract 86.06, Adams County, CO",Adams County,2360,53,2.2
08001008705,"Census Tract 87.05, Adams County, CO",Adams County,1645,12,0.7
08001008706,"Census Tract 87.06, Adams County, CO",Adams County,1797,90,5.0
08001008709,"Census Tract 87.09, Adams County, CO",Adams County,2757,348,12.6
08001008801,"Census Tract 88.01, Adams County, CO",Adams County,1484,10,0.7
08001008802,"Census Tract 88.02, Adams County, CO",Adams County,1288,90,7.0
08001008901,"Census Tract 89.01, Adams County, CO",Adams County,791,43,5.4
08001009001,"Census Tract 90.01, Adams County, CO",Adams County,1700,184,10.8
08001009003,"Census Tract 90.03, Adams County, CO",Adams County,1568,91,5.8
08001009004,"Census Tract 90.04, Adams County, CO",Adams County,1971,81,4.1
08001009101,"Census Tract 91.01, Adams County, CO",Adams County,1456,25,1.7
08001009103,"Census Tract 91.03, Adams County, CO",Adams County,1305,37,2.8
08001009104,"Census Tract 91.04, Adams County, CO",Adams County,2154,11,0.5
08001009202,"Census Tract 92.02, Adams County, CO",Adams County,1398,77,5.5
08001009203,"Census Tract 92.03, Adams County, CO",Adams County,1984,68,3.4
08001009204,"Census Tract 92.04, Adams County, CO",Adams County,2582,83,3.2
08001009206,"Census Tract 92.06, Adams County, CO",Adams County,1187,58,4.9
08001009207,"Census Tract 92.07, Adams County, CO",Adams County,1421,75,5.3
08001009304,"Census Tract 93.04, Adams County, CO",Adams County,2255,152,6.7
08001009306,"Census Tract 93.06, Adams County, CO",Adams County,1334,137,10.3
08001009307,"Census Tract 93.07, Adams County, CO",Adams County,1232,90,7.3
08001009308,"Census Tract 93.08, Adams County, CO",Adams County,1555,66,4.2
08001009309,"Census Tract 93.09, Adams County, CO",Adams County,1599,207,12.9
08001009310,"Census Tract 93.10, Adams County, CO",Adams County,1827,191,10.5
08001009316,"Census Tract 93.16, Adams County, CO",Adams County,2375,55,2.3
08001009318,"Census Tract 93.18, Adams County, CO",Adams County,2589,286,11.0
08001009319,"Census Tract 93.19, Adams County, CO",Adams County,901,43,4.8
08001009320,"Census Tract 93.20, Adams County, CO",Adams County,1366,131,9.6
08001009321,"Census Tract 93.21, Adams County, CO",Adams County,1464,11,0.8
08001009322,"Census Tract 93.22, Adams County, CO",Adams County,1620,111,6.9
08001009323,"Census Tract 93.23, Adams County, CO",Adams County,1535,57,3.7
08001009325,"Census Tract 93.25, Adams County, CO",Adams County,2751,266,9.7
08001009326,"Census Tract 93.26, Adams County, CO",Adams County,1214,0,0.0
08001009327,"Census Tract 93.27, Adams County, CO",Adams County,1762,49,2.8
08001009401,"Census Tract 94.01, Adams County, CO",Adams County,1658,30,1.8
08001009406,"Census Tract 94.06, Adams County, CO",Adams County,1645,0,0.0
08001009407,"Census Tract 94.07, Adams County, CO",Adams County,1821,94,5.2
08001009408,"Census Tract 94.08, Adams County, CO",Adams County,2014,60,3.0
08001009409,"Census Tract 94.09, Adams County, CO",Adams County,2366,220,9.3
08001009410,"Census Tract 94.10, Adams County, CO",Adams County,1223,51,4.2
08001009411,"Census Tract 94.11, Adams County, CO",Adams County,1348,66,4.9
08001009501,"Census Tract 95.01, Adams County, CO",Adams County,1130,54,4.8
08001009502,"Census Tract 95.02, Adams County, CO",Adams County,1914,13,0.7
08001009553,"Census Tract 95.53, Adams County, CO",Adams County,1391,108,7.8
08001009603,"Census Tract 96.03, Adams County, CO",Adams County,2751,346,12.6
08001009604,"Census Tract 96.04, Adams County, CO",Adams County,1773,209,11.8
08001009606,"Census Tract 96.06, Adams County, CO",Adams County,1262,72,5.7
08001009607,"Census Tract 96.07, Adams County, CO",Adams County,1880,96,5.1
08001009608,"Census Tract 96.08, Adams County, CO",Adams County,1153,14,1.2
08001009751,"Census Tract 97.51, Adams County, CO",Adams County,1499,31,2.1
08001009752,"Census Tract 97.52, Adams County, CO",Adams County,1040,29,2.8
08001015000,"Census Tract 150, Adams County, CO",Adams County,1088,0,0.0
08001060001,"Census Tract 600.01, Adams County, CO",Adams County,1208,38,3.1
08001060002,"Census Tract 600.02, Adams County, CO",Adams County,1367,0,0.0
08001060100,"Census Tract 601, Adams County, CO",Adams County,2649,19,0.7
08001060200,"Census Tract 602, Adams County, CO",Adams County,2366,187,7.9
08001061200,"Census Tract 612, Adams County, CO",Adams County,1544,34,2.2
08001988700,"Census Tract 9887, Adams County, CO",Adams County,0,0,
08059009806,"Census Tract 98.06, Jefferson County, CO",Jefferson County,1861,10,0.5
08059009807,"Census Tract 98.07, Jefferson County, CO",Jefferson County,748,52,7.0
08059009815,"Census Tract 98.15, Jefferson County, CO",Jefferson County,2000,21,1.1
08059009823,"Census Tract 98.23, Jefferson County, CO",Jefferson County,1593,0,0.0
08059009824,"Census Tract 98.24, Jefferson County, CO",Jefferson County,2030,20,1.0
08059009827,"Census Tract 98.27, Jefferson County, CO",Jefferson County,2303,109,4.7
08059009828,"Census Tract 98.28, Jefferson County, CO",Jefferson County,2175,164,7.5
08059009829,"Census Tract 98.29, Jefferson County, CO",Jefferson County,689,12,1.7
08059009830,"Census Tract 98.30, Jefferson County, CO",Jefferson County,972,6,0.6
08059009831,"Census Tract 98.31, Jefferson County, CO",Jefferson County,1537,34,2.2
08059009832,"Census Tract 98.32, Jefferson County, CO",Jefferson County,915,65,7.1
08059009833,"Census Tract 98.33, Jefferson County, CO",Jefferson County,2227,132,5.9
08059009834,"Census Tract 98.34, Jefferson County, CO",Jefferson County,1990,45,2.3
08059009835,"Census Tract 98.35, Jefferson County, CO",Jefferson County,1402,14,1.0
08059009836,"Census Tract 98.36, Jefferson County, CO",Jefferson County,1603,7,0.4
08059009837,"Census Tract 98.37, Jefferson County, CO",Jefferson County,2844,0,0.0
08059009838,"Census Tract 98.38, Jefferson County, CO",Jefferson County,2149,43,2.0
08059009839,"Census Tract 98.39, Jefferson County, CO",Jefferson County,810,0,0.0
08059009840,"Census Tract 98.40, Jefferson County, CO",Jefferson County,1335,142,10.6
08059009841,"Census Tract 98.41, Jefferson County, CO",Jefferson County,856,63,7.4
08059009842,"Census Tract 98.42, Jefferson County, CO",Jefferson County,1278,15,1.2
08059009845,"Census Tract 98.45, Jefferson County, CO",Jefferson County,1744,31,1.8
08059009846,"Census Tract 98.46, Jefferson County, CO",Jefferson County,1986,24,1.2
08059009847,"Census Tract 98.47, Jefferson County, CO",Jefferson County,1339,5,0.4
08059009848,"Census Tract 98.48, Jefferson County, CO",Jefferson County,1073,62,5.8
08059009850,"Census Tract 98.50, Jefferson County, CO",Jefferson County,1116,19,1.7
08059009851,"Census Tract 98.51, Jefferson County, CO",Jefferson County,1854,7,0.4
08059009852,"Census Tract 98.52, Jefferson County, CO",Jefferson County,1893,32,1.7
08059009853,"Census Tract 98.53, Jefferson County, CO",Jefferson County,986,13,1.3
08059009854,"Census Tract 98.54, Jefferson County, CO",Jefferson County,2193,102,4.7
08059009855,"Census Tract 98.55, Jefferson County, CO",Jefferson County,1085,27,2.5
08059009856,"Census Tract 98.56, Jefferson County, CO",Jefferson County,1291,22,1.7
08059009857,"Census Tract 98.57, Jefferson County, CO",Jefferson County,1281,155,12.1
08059009858,"Census Tract 98.58, Jefferson County, CO",Jefferson County,1579,0,0.0
08059009901,"Census Tract 99.01, Jefferson County, CO",Jefferson County,954,86,9.0
08059010001,"Census Tract 100.01, Jefferson County, CO",Jefferson County,1399,149,10.7
08059010100,"Census Tract 101, Jefferson County, CO",Jefferson County,2119,110,5.2
08059010205,"Census Tract 102.05, Jefferson County, CO",Jefferson County,1037,99,9.5
08059010206,"Census Tract 102.06, Jefferson County, CO",Jefferson County,1643,38,2.3
08059010208,"Census Tract 102.08, Jefferson County, CO",Jefferson County,2150,45,2.1
08059010209,"Census Tract 102.09, Jefferson County, CO",Jefferson County,2789,178,6.4
08059010210,"Census Tract 102.10, Jefferson County, CO",Jefferson County,1315,133,10.1
08059010211,"Census Tract 102.11, Jefferson County, CO",Jefferson County,1233,92,7.5
08059010212,"Census Tract 102.12, Jefferson County, CO",Jefferson County,1634,32,2.0
08059010213,"Census Tract 102.13, Jefferson County, CO",Jefferson County,1932,22,1.1
08059010303,"Census Tract 103.03, Jefferson County, CO",Jefferson County,2120,12,0.6
08059010304,"Census Tract 103.04, Jefferson County, CO",Jefferson County,988,49,5.0
08059010305,"Census Tract 103.05, Jefferson County, CO",Jefferson County,1666,67,4.0
08059010306,"Census Tract 103.06, Jefferson County, CO",Jefferson County,1202,21,1.7
08059010307,"Census Tract 103.07, Jefferson County, CO",Jefferson County,2042,168,8.2
08059010308,"Census Tract 103.08, Jefferson County, CO",Jefferson County,2814,37,1.3
08059010402,"Census Tract 104.02, Jefferson County, CO",Jefferson County,2803,175,6.2
08059010403,"Census Tract 104.03, Jefferson County, CO",Jefferson County,2570,49,1.9
08059010405,"Census Tract 104.05, Jefferson County, CO",Jefferson County,1592,91,5.7
08059010406,"Census Tract 104.06, Jefferson County, CO",Jefferson County,1455,34,2.3
08059010502,"Census Tract 105.02, Jefferson County, CO",Jefferson County,2358,195,8.3
08059010503,"Census Tract 105.03, Jefferson County, CO",Jefferson County,2098,198,9.4
08059010504,"Census Tract 105.04, Jefferson County, CO",Jefferson County,1223,36,2.9
08059010603,"Census Tract 106.03, Jefferson County, CO",Jefferson County,1938,116,6.0
08059010604,"Census Tract 106.04, Jefferson County, CO",Jefferson County,1034,42,4.1
08059010701,"Census Tract 107.01, Jefferson County, CO",Jefferson County,2486,363,14.6
08059010702,"Census Tract 107.02, Jefferson County, CO",Jefferson County,2334,70,3.0
08059010801,"Census Tract 108.01, Jefferson County, CO",Jefferson County,1050,26,2.5
08059010901,"Census Tract 109.01, Jefferson County, CO",Jefferson County,2249,134,6.0
08059010902,"Census Tract 109.02, Jefferson County, CO",Jefferson County,1437,140,9.7
08059011000,"Census Tract 110, Jefferson County, CO",Jefferson County,2249,145,6.4
08059011101,"Census Tract 111.01, Jefferson County, CO",Jefferson County,1642,59,3.6
08059011102,"Census Tract 111.02, Jefferson County, CO",Jefferson County,1474,360,24.4
08059011202,"Census Tract 112.02, Jefferson County, CO",Jefferson County,1667,37,2.2
08059011300,"Census Tract 113, Jefferson County, CO",Jefferson County,1412,87,6.2
08059011401,"Census Tract 114.01, Jefferson County, CO",Jefferson County,1285,255,19.8
08059011402,"Census Tract 114.02, Jefferson County, CO",Jefferson County,2014,157,7.8
08059011551,"Census Tract 115.51, Jefferson County, CO",Jefferson County,2054,95,4.6
08059011552,"Census Tract 115.52, Jefferson County, CO",Jefferson County,1309,231,17.6
08059011601,"Census Tract 116.01, Jefferson County, CO",Jefferson County,1383,104,7.5
08059011602,"Census Tract 116.02, Jefferson County, CO",Jefferson County,1705,166,9.7
08059011701,"Census Tract 117.01, Jefferson County, CO",Jefferson County,1975,104,5.3
08059011702,"Census Tract 117.02, Jefferson County, CO",Jefferson County,2198,155,7.1
08059011708,"Census Tract 117.08, Jefferson County, CO",Jefferson County,1508,26,1.7
08059011709,"Census Tract 117.09, Jefferson County, CO",Jefferson County,1565,38,2.4
08059011710,"Census Tract 117.10, Jefferson County, CO",Jefferson County,2007,56,2.8
08059011711,"Census Tract 117.11, Jefferson County, CO",Jefferson County,1853,68,3.7
08059011712,"Census Tract 117.12, Jefferson County, CO",Jefferson County,1818,0,0.0
08059011720,"Census Tract 117.20, Jefferson County, CO",Jefferson County,2063,55,2.7
08059011721,"Census Tract 117.21, Jefferson County, CO",Jefferson County,1220,36,3.0
08059011723,"Census Tract 117.23, Jefferson County, CO",Jefferson County,1825,97,5.3
08059011724,"Census Tract 117.24, Jefferson County, CO",Jefferson County,2808,55,2.0
08059011725,"Census Tract 117.25, Jefferson County, CO",Jefferson County,766,14,1.8
08059011726,"Census Tract 117.26, Jefferson County, CO",Jefferson County,2130,144,6.8
08059011727,"Census Tract 117.27, Jefferson County, CO",Jefferson County,1475,7,0.5
08059011728,"Census Tract 117.28, Jefferson County, CO",Jefferson County,1149,31,2.7
08059011729,"Census Tract 117.29, Jefferson County, CO",Jefferson County,2127,61,2.9
08059011730,"Census Tract 117.30, Jefferson County, CO",Jefferson County,1552,22,1.4
08059011731,"Census Tract 117.31, Jefferson County, CO",Jefferson County,2017,61,3.0
08059011732,"Census Tract 117.32, Jefferson County, CO",Jefferson County,2432,162,6.7
08059011733,"Census Tract 117.33, Jefferson County, CO",Jefferson County,1214,21,1.7
08059011803,"Census Tract 118.03, Jefferson County, CO",Jefferson County,2164,71,3.3
08059011804,"Census Tract 118.04, Jefferson County, CO",Jefferson County,1663,61,3.7
08059011806,"Census Tract 118.06, Jefferson County, CO",Jefferson County,2250,269,12.0
08059011807,"Census Tract 118.07, Jefferson County, CO",Jefferson County,1594,88,5.5
08059011808,"Census Tract 118.08, Jefferson County, CO",Jefferson County,1584,185,11.7
08059011904,"Census Tract 119.04, Jefferson County, CO",Jefferson County,1573,60,3.8
08059011951,"Census Tract 119.51, Jefferson County, CO",Jefferson County,1875,58,3.1
08059012022,"Census Tract 120.22, Jefferson County, CO",Jefferson County,2269,14,0.6
08059012023,"Census Tract 120.23, Jefferson County, CO",Jefferson County,1329,8,0.6
08059012024,"Census Tract 120.24, Jefferson County, CO",Jefferson County,2324,66,2.8
08059012026,"Census Tract 120.26, Jefferson County, CO",Jefferson County,1379,11,0.8
08059012027,"Census Tract 120.27, Jefferson County, CO",Jefferson County,1175,6,0.5
08059012030,"Census Tract 120.30, Jefferson County, CO",Jefferson County,1517,30,2.0
08059012031,"Census Tract 120.31, Jefferson County, CO",Jefferson County,1454,15,1.0
08059012032,"Census Tract 120.32, Jefferson County, CO",Jefferson County,1034,11,1.1
08059012033,"Census Tract 120.33, Jefferson County, CO",Jefferson County,1123,50,4.5
08059012034,"Census Tract 120.34, Jefferson County, CO",Jefferson County,1532,10,0.7
08059012035,"Census Tract 120.35, Jefferson County, CO",Jefferson County,1755,0,0.0
08059012036,"Census Tract 120.36, Jefferson County, CO",Jefferson County,1280,13,1.0
08059012037,"Census Tract 120.37, Jefferson County, CO",Jefferson County,1602,0,0.0
08059012038,"Census Tract 120.38, Jefferson County, CO",Jefferson County,1250,42,3.4
08059012039,"Census Tract 120.39, Jefferson County, CO",Jefferson County,2039,58,2.8
08059012041,"Census Tract 120.41, Jefferson County, CO",Jefferson County,2032,0,0.0
08059012042,"Census Tract 120.42, Jefferson County, CO",Jefferson County,1372,15,1.1
08059012043,"Census Tract 120.43, Jefferson County, CO",Jefferson County,2441,21,0.9
08059012044,"Census Tract 120.44, Jefferson County, CO",Jefferson County,1535,8,0.5
08059012045,"Census Tract 120.45, Jefferson County, CO",Jefferson County,2151,30,1.4
08059012046,"Census Tract 120.46, Jefferson County, CO",Jefferson County,803,11,1.4
08059012047,"Census Tract 120.47, Jefferson County, CO",Jefferson County,1710,18,1.1
08059012048,"Census Tract 120.48, Jefferson County, CO",Jefferson County,948,101,10.7
08059012049,"Census Tract 120.49, Jefferson County, CO",Jefferson County,1408,45,3.2
08059012050,"Census Tract 120.50, Jefferson County, CO",Jefferson County,1905,102,5.4
08059012051,"Census Tract 120.51, Jefferson County, CO",Jefferson County,1366,0,0.0
08059012052,"Census Tract 120.52, Jefferson County, CO",Jefferson County,2009,45,2.2
08059012053,"Census Tract 120.53, Jefferson County, CO",Jefferson County,1518,17,1.1
08059012054,"Census Tract 120.54, Jefferson County, CO",Jefferson County,1541,42,2.7
08059012055,"Census Tract 120.55, Jefferson County, CO",Jefferson County,1471,38,2.6
08059012057,"Census Tract 120.57, Jefferson County, CO",Jefferson County,2560,52,2.0
08059012058,"Census Tract 120.58, Jefferson County, CO",Jefferson County,1530,21,1.4
08059012059,"Census Tract 120.59, Jefferson County, CO",Jefferson County,1253,46,3.7
08059012060,"Census Tract 120.60, Jefferson County, CO",Jefferson County,1407,0,0.0
08059015800,"Census Tract 158, Jefferson County, CO",Jefferson County,2120,93,4.4
08059015900,"Census Tract 159, Jefferson County, CO",Jefferson County,1454,51,3.5
08059060300,"Census Tract 603, Jefferson County, CO",Jefferson County,1587,0,0.0
08059060400,"Census Tract 604, Jefferson County, CO",Jefferson County,2197,18,0.8
08059060501,"Census Tract 605.01, Jefferson County, CO",Jefferson County,3651,75,2.1
08059980000,"Census Tract 9800, Jefferson County, CO",Jefferson County,0,0,
08059980400,"Census Tract 9804, Jefferson County, CO",Jefferson County,0,0,
08059980700,"Census Tract 9807, Jefferson County, CO",Jefferson County,0,0,
08059980800,"Census Tract 9808, Jefferson County, CO",Jefferson County,0,0,
